ID,Frame #,Sentence,Verb,Object,Envoked Frame,,Ground Truth (Manually Checking),,Frame Definition,Notes,,Predicted Frame
1,1,I open the door.,open,door,Body_movement,,yes,,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.847,,v
1,2,I open the door.,open,door,Activity_start,,yes,,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.755,,v
1,3,I open the door.,open,door,Closure,,yes,,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.401,,
1,4,I open the door.,open,door,,,,,,,,
1,5,I open the door.,open,door,,,,,,,,
1,6,I open the door.,open,door,,,,,,,,
1,7,I open the door.,open,door,,,,,,,,
1,8,I open the door.,open,door,,,,,,,,
1,9,I open the door.,open,door,,,,,,,,
1,10,I open the door.,open,door,,,,,,,,
1,11,I open the door.,open,door,,,,,,,,
1,12,I open the door.,open,door,,,,,,,,
1,13,I open the door.,open,door,,,,,,,,
1,14,I open the door.,open,door,,,,,,,,
2,1,I close the door.,close,door,Process_end,,no,,A Process comes to an end.  'The project came to a close.',Confidence: 0.933,,v
2,2,I close the door.,close,door,Body_movement,,yes,,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.841,,v
2,3,I close the door.,close,door,Locale_closure,,no,,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use.  'That park closed last year.'",Confidence: 0.668,,
2,4,I close the door.,close,door,Business_closure,,no,,"A business locale, the Entity, ceases to provide services and closes.   'Exxon went under.'",Confidence: 0.456,,
2,5,I close the door.,close,door,Placing,,no,,"Generally without overall (translational) motion,  an Agent places a Theme at a location, the Goal, which is profiled.  In this frame, the Theme is under the control of the Agent/Cause at the time of its arrival at the Goal.  'David placed his briefcase on the floor.'  This frame differs from Filling in that it focuses on the Theme rather than the effect on the Goal entity.  It differs from Removing in focusing on the Goal rather than the Source of motion for the Theme.",Confidence: 0.455,,
2,6,I close the door.,close,door,Closure,,yes,,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.308,,
2,7,I close the door.,close,door,Reveal_secret,,no,,"A Speaker reveals Information that was previously secret to an Addressee. In some cases, the Addressee is expected to keep the Information from other parties. The Information may be damaging to the reputation of the Speaker. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of Information. Some lexical units in this frame imply that the Addressee has already been confronted with the Information.    'Could it be true that Martin himself was the one who spilled the beans on Pops and Brad's planned wedding? '  ",Confidence: 0.291,,
2,8,I close the door.,close,door,,,,,,,,
2,9,I close the door.,close,door,,,,,,,,
2,10,I close the door.,close,door,,,,,,,,
2,11,I close the door.,close,door,,,,,,,,
2,12,I close the door.,close,door,,,,,,,,
2,13,I close the door.,close,door,,,,,,,,
2,14,I close the door.,close,door,,,,,,,,
