ID,Sentence,Frame #,Verb,Object,Envoked Frame,Ground Truth (Manually Checking),Frame Definition,Notes,GPT Frame Match,Original Frame,Ground Truth Binary,GPT Match Binary,Unnamed: 6,Did the model Predicte the Frame
METRICS,,,,,,,,"Accuracy: 70.73%, Precision: 62.50%, Recall: 35.71%, F1: 45.45%",,,,,,
1,I open the door.,1,open,door,Closure,yes,,,NO,Closure,1,0,,
1,I open the door.,2,open,door,Body_movement,no,,,NO,Body_movement,0,0,,
1,I open the door.,3,open,door,Activity_start,no,,,NO,Activity_start,0,0,,
2,I close the door.,1,close,door,Closure,yes,,,NO,Closure,1,0,,
2,I close the door.,2,close,door,Body_movement,no,,,NO,Body_movement,0,0,,
2,I close the door.,3,close,door,Locale_closure,no,,,NO,Locale_closure,0,0,,
3,I knock on the door.,1,knock,door,Cause_harm,no,,,NO,Cause_harm,0,0,,
3,I knock on the door.,2,knock,door,Cause_motion,no,,,NO,Cause_motion,0,0,,
3,I knock on the door.,3,knock,door,Impact,yes,,,NO,Impact,1,0,,
5,I open the backpack.,1,open,backpack,Closure,yes,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",,YES,Closure,1,1,,
5,I open the backpack.,2,open,backpack,Body_movement,no,,,NO,Body_movement,0,0,,
5,I open the backpack.,3,open,backpack,Activity_start,no,,,NO,Activity_start,0,0,,
6,I close the backpack.,1,close,backpack,Closure,yes,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",,YES,Closure,1,1,,
6,I close the backpack.,2,close,backpack,Body_movement,no,,,NO,Body_movement,0,0,,
6,I close the backpack.,3,close,backpack,Locale_closure,no,,,NO,Locale_closure,0,0,,
8,I tear the backpack.,1,tear,backpack,Experience_bodily_harm,no,,,NO,Experience_bodily_harm,0,0,,
8,I tear the backpack.,2,tear,backpack,Cause_to_fragment,yes,,,NO,Cause_to_fragment,1,0,,
8,I tear the backpack.,3,tear,backpack,Damaging,yes,"An Agent affects a Patient in such a way that the Patient (or some Subregion of the Patient) ends up in a non-canonical state.  Often this non-canonical state is undesirable, and some lexical units (marked with the Negative semantic type) specifically indicate that the Patient is negatively affected.  Some lexical units of this frame indicate by what means the Patient is altered (e.g., scrape.v) and in some cases give some indication of the detailed effect on the Patient (e.g., score.v, chip.v), and in other cases, both are specified (tear.v). For another set of lexical units, the action and its result are much less specified (e.g., damage.v).  Compare this frame with Destroying, Cause_to_fragment, and Render_nonfunctional.  'That idiot just dented my car!' 'Some ne'er-do-wells defaced the Park's wall with spray paint to show their anger at local natural resources allocation policy.' 'Please don't damage the goods.'",,YES,Damaging,1,1,,
8,I tear the backpack.,4,tear,backpack,Removing,no,,,NO,Removing,0,0,,
9,I open the laptop.,1,open,laptop,Closure,yes,,,NO,Closure,1,0,,
9,I open the laptop.,2,open,laptop,Body_movement,no,,,NO,Body_movement,0,0,,
9,I open the laptop.,3,open,laptop,Activity_start,no,,,NO,Activity_start,0,0,,
14,I drop the pencil.,1,drop,pencil,Body_movement,yes,,,NO,Body_movement,1,0,,
14,I drop the pencil.,2,drop,pencil,Path_shape,no,,,NO,Path_shape,0,0,,
14,I drop the pencil.,3,drop,pencil,Change_position_on_a_scale,yes,,,NO,Change_position_on_a_scale,1,0,,
14,I drop the pencil.,4,drop,pencil,Giving_birth,no,,,NO,Giving_birth,0,0,,
14,I drop the pencil.,5,drop,pencil,Motion_directional,yes,,,NO,Motion_directional,1,0,,
14,I drop the pencil.,6,drop,pencil,Change_posture,no,,,NO,Change_posture,0,0,,
14,I drop the pencil.,7,drop,pencil,Cause_change_of_position_on_a_scale,no,,,NO,Cause_change_of_position_on_a_scale,0,0,,
