ID,Sentence,Frame #,Verb,Object,Envoked Frame,Ground Truth (Manually Checking),Frame Definition,Notes,Did the model Predicte the Frame,LLM Merged Sentence,Sentence Components,Unnamed: 6
METRICS,,,,,,,,"Accuracy: 65.85%, Precision: 0.00%, Recall: 0.00%, F1: 0.00%",,,,
1,I open the door.,1,open,door,Closure,yes,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.004,,I manipulate a fastener to open the door.,"components: 
who: I
verb: open
object: the door",
1,I open the door.,2,open,door,Body_movement,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.004,,I open the door using my hands as part of an action performed with my body.,"components: 
who: I
verb: open
object: the door",
1,I open the door.,3,open,door,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.000,,I open the door to initiate an ongoing activity in which I will be continuously involved.,"components: 
who: I
verb: open
object: the door",
2,I close the door.,1,close,door,Closure,yes,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.004,,I manipulate a fastener to close the door.,"components: 
who: I
verb: close
object: the door",
2,I close the door.,2,close,door,Reveal_secret,no,"A Speaker reveals Information that was previously secret to an Addressee. In some cases, the Addressee is expected to keep the Information from other parties. The Information may be damaging to the reputation of the Speaker. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of Information. Some lexical units in this frame imply that the Addressee has already been confronted with the Information.    'Could it be true that Martin himself was the one who spilled the beans on Pops and Brad's planned wedding? '  ",Confidence: 0.002,,I close the door as a way of revealing previously secret information to an addressee.,"components: 
who: I
verb: close
object: the door",
2,I close the door.,3,close,door,Body_movement,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.001,,I close the door using my hand.,"components: 
who: I
verb: close
object: the door",
3,I knock on the door.,1,knock,door,Impact,no,"While in motion, an Impactor makes sudden, forcible contact with the Impactee, or two Impactors both move, mutually making forcible contact.   'The massive metal foot hit the ground with a huge thud.' ",Confidence: 0.003,,"I, while in motion, knock on the door, making sudden, forcible contact with it.","components: 
who: I
verb: knock
object: (implied object, not directly stated)
preposition: on
preposition_object: the door",
3,I knock on the door.,2,knock,door,Cause_harm,no,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'",Confidence: 0.002,,I knock on the door as a cause that injures a victim,"components: 
who: I
verb: knock
object: (implied object, not directly stated)
preposition: on
preposition_object: the door",
3,I knock on the door.,3,knock,door,Sex,yes,"Participants in a Sex act engage in or are subjected to sexual contact. Often the LUs in this frame are suggestive euphemisms which refer to non-sexual physical contact, Giving/Receiving scenarios, frames related to travel, physical orientation, body metonymy, biological necessity, or a simple completion of Activity.  ",Confidence: 0.001,,I knock on the door as a form of engagement in an act.,"components: 
who: I
verb: knock
object: (implied object, not directly stated)
preposition: on
preposition_object: the door",
5,I open the backpack.,1,open,backpack,Closure,yes,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.002,,I manipulate a fastener to open the backpack.,"components: 
who: I
verb: open
object: the backpack",
5,I open the backpack.,2,open,backpack,Body_movement,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.001,,I open the backpack using my hands.,"components: 
who: I
verb: open
object: the backpack",
5,I open the backpack.,3,open,backpack,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.001,,I open the backpack to initiate an ongoing activity in which I will be continuously involved.,"components: 
who: I
verb: open
object: the backpack",
6,I close the backpack.,1,close,backpack,Closure,yes,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.002,,I manipulate a fastener to close the backpack.,"components: 
who: I
verb: close
object: the backpack",
6,I close the backpack.,2,close,backpack,Reveal_secret,no,"A Speaker reveals Information that was previously secret to an Addressee. In some cases, the Addressee is expected to keep the Information from other parties. The Information may be damaging to the reputation of the Speaker. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of Information. Some lexical units in this frame imply that the Addressee has already been confronted with the Information.    'Could it be true that Martin himself was the one who spilled the beans on Pops and Brad's planned wedding? '  ",Confidence: 0.002,,"I close the backpack, revealing previously secret information to an addressee.","components: 
who: I
verb: close
object: the backpack",
6,I close the backpack.,3,close,backpack,Business_closure,no,"A business locale, the Entity, ceases to provide services and closes.   'Exxon went under.'",Confidence: 0.001,,"I close the backpack, ceasing to provide its services as a business locale would.","components: 
who: I
verb: close
object: the backpack",
8,I tear the backpack.,1,tear,backpack,Damaging,no,"An Agent affects a Patient in such a way that the Patient (or some Subregion of the Patient) ends up in a non-canonical state.  Often this non-canonical state is undesirable, and some lexical units (marked with the Negative semantic type) specifically indicate that the Patient is negatively affected.  Some lexical units of this frame indicate by what means the Patient is altered (e.g., scrape.v) and in some cases give some indication of the detailed effect on the Patient (e.g., score.v, chip.v), and in other cases, both are specified (tear.v). For another set of lexical units, the action and its result are much less specified (e.g., damage.v).  Compare this frame with Destroying, Cause_to_fragment, and Render_nonfunctional.  'That idiot just dented my car!' 'Some ne'er-do-wells defaced the Park's wall with spray paint to show their anger at local natural resources allocation policy.' 'Please don't damage the goods.'",Confidence: 0.003,,I tear the backpack in such a way that it affects the backpack.,"components: 
who: I
verb: tear
object: the backpack",
8,I tear the backpack.,2,tear,backpack,Experience_bodily_harm,yes,"An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'",Confidence: 0.002,,I tear the backpack as if it were a body part involved in a bodily injury.,"components: 
who: I
verb: tear
object: the backpack",
8,I tear the backpack.,3,tear,backpack,Cause_to_fragment,yes,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'",Confidence: 0.001,,"I tear the backpack, suddenly separating it into two or more smaller pieces, resulting in it no longer existing as a whole.","components: 
who: I
verb: tear
object: the backpack",
8,I tear the backpack.,4,tear,backpack,Removing,no,"An Agent causes a Theme to move away from a location, the Source.  The Sourceis profiled by the words in this frame, just as the Goal is profiled in the Placing frame.  'I saw that several men in dark suits had removed all of the evidence from the scene.' 'With your index finger prise the meat out of the shell' 'The torrential winds dislodged most of the roof tiles.'",Confidence: 0.001,,I tear the backpack away from its location.,"components: 
who: I
verb: tear
object: the backpack",
