Sentence,First_Sentence,Core_Elements,Element_Mappings,Hybrid_Hypothesis,Confidence_Score,Frame_Accepted,Ground_Truth,LLM_Response,Notes,Verb,Frame_Name,Frame_Definition,Core_Elements_Mappings
METRICS,,,,,,,,,"Accuracy: 75.61%, Precision: 60.00%, Recall: 85.71%, F1: 70.59%",,,,
I open the door.,an agent manipulates a fastener to open or close a containing_object.,,,I manipulate a fastener to open or close a the door .,0.6,True,True,"Reasoning: The sentence ""I open the door"" involves an Agent (""I"") manipulating an object (""the door"") to change its state from closed to open, which aligns with the core action described in the Closure frame. However, the Closure frame emphasizes the manipulation of a Fastener, which is not explicitly mentioned or implied in the given sentence. The action described in the sentence is more direct and does not necessarily involve a fastener (e.g., a lock, knob, or handle) as an intermediary in the opening action. Therefore, while the sentence shares some thematic elements with the Closure frame, the lack of specificity regarding the manipulation of a Fastener reduces the alignment with the frame's core definition.

Confidence: 0.6",,open,Closure,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'","{'Containing_object': 'the door', 'Agent': 'I', 'Fastener': None}"
I open the door.,this frame contains words for motions or actions an agent performs using some part of his/her body.,,,this frame contains words for motions or actions I perform using some part of his / her body .,0.6,True,False,"Reasoning: The sentence ""I open the door"" involves a physical action performed by an agent (I) using a part of their body to achieve a change in state (the door being opened). The core action of opening aligns with the idea of performing a motion or action using the body, as described in the Body_movement frame. However, the specific action of opening a door might not perfectly align with the typical examples or the core focus of the Body_movement frame, which emphasizes the motion aspect more than the interaction with objects to change their state. The sentence does not explicitly mention the body part used or the motion involved, which are central to the Body_movement frame's definition. Therefore, while there is a physical action performed by an agent, the focus on opening an object might be better captured by a different frame that specifically addresses interactions with objects and their state changes.

Confidence: 0.6",,open,Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",{'Agent': 'I'}
I open the door.,an agent initiates the beginning of an ongoing activity in which he will be continuously involved.,,,I initiate the beginning of an ongoing open in which he will be continuously involved .,0.2,False,False,"Reasoning: The sentence ""I open the door"" involves an Agent (I) performing an action (open) on an object (the door). However, the ""Activity_start"" frame is about initiating an ongoing Activity in which the Agent will be continuously involved. Opening a door is a discrete, one-time action rather than the beginning of an ongoing activity in which the Agent is continuously involved. Therefore, the core semantic roles and overall meaning of the ""Activity_start"" frame do not align perfectly with the sentence.

Confidence: 0.2",,open,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ","{'Activity': 'open', 'Agent': 'I'}"
I close the door.,an agent manipulates a fastener to open or close a containing_object.,,,I manipulate a fastener to open or close a the door .,0.85,True,True,"Reasoning: The sentence ""I close the door"" aligns well with the core definition of the Closure frame, where an Agent (I) manipulates a Containing_object (the door) to close it. However, the specific mention of manipulating a Fastener to achieve closure is not present in the sentence, which might suggest a slight deviation from the full frame definition. Despite this, the core action of closing and the roles of Agent and Containing_object are perfectly matched, indicating that the essence of the Closure frame is preserved even without explicit mention of a Fastener.

Confidence: 0.85",,close,Closure,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'","{'Containing_object': 'the door', 'Agent': 'I', 'Fastener': None}"
I close the door.,this frame contains words for motions or actions an agent performs using some part of his/her body.,,,this frame contains words for motions or actions I perform using some part of his / her body .,0.5,False,False,"Reasoning: The sentence ""I close the door"" involves a physical action performed by an Agent (I) on an object (the door). While this action indeed involves body movement, the primary focus is not on the motion of the body part itself but on the effect that motion has on an external object. The Body_movement frame emphasizes motions or actions performed using the body, without necessarily focusing on the interaction with objects to achieve a specific change in state, such as closing a door. Therefore, the core semantic roles of the Body_movement frame do not align perfectly with the elements in the sentence, as the sentence's main focus is on the action's outcome (the door being closed) rather than the motion of the body part.

Confidence: 0.5",,close,Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",{'Agent': 'I'}
I close the door.,"a building or location that can be sealed to prevent entrance, the locale, ceases to be open for use.",,,"a building or location that can be sealed to prevent entrance , the the door , ceases to be open for use .",0.6,True,False,"Reasoning: The sentence ""I close the door"" involves a physical action performed by an agent (I) on an object (the door) to change its state from open to closed. The core semantic roles in the Locale_closure frame involve a location being sealed to prevent entrance, which indirectly involves the action of closing something like a door. However, the frame's focus is on the broader effect of a location becoming inaccessible, rather than the specific action of closing a door to achieve this state. Therefore, while the action of closing the door is related to the idea of a locale becoming closed, the sentence's focus on the specific action does not perfectly align with the frame's emphasis on the overall state of the locale being sealed off.

Confidence: 0.6",,close,Locale_closure,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use.  'That park closed last year.'",{'Locale': 'the door'}
I knock on the door.,the words in this frame describe situations in which an agent or a cause injures a victim.,,,the words in this frame describe situations in which I or a cause injures a victim .,0.0,False,False,"Reasoning: The sentence ""I knock on the door"" does not align with the ""Cause_harm"" frame because the action of knocking on a door does not inherently involve causing injury to a victim. The core elements of the ""Cause_harm"" frame involve an Agent causing injury to a Victim, which does not match the context of the given sentence where the action is simply knocking on a door without any implication of harm or injury. Therefore, the semantic roles and the overall meaning of the ""Cause_harm"" frame do not apply to the sentence.

Confidence: 0.0",,knock,Cause_harm,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'","{'Agent': 'I', 'Victim': None, 'Cause': None}"
I knock on the door.,"an agent causes a theme to move from a source, along a path, to a goal.",,,"I cause a theme to move from a source , along a path , to a the door .",0.2,False,False,"Reasoning: The sentence ""I knock on the door"" does not align well with the core elements of the Cause_motion frame. In this sentence, the action of knocking does not cause a theme to move from a source, along a path, to a goal. Instead, the action is about creating a sound by hitting a surface (the door), without causing any object to change location or state in the manner described by the Cause_motion frame. The core semantic roles of Agent, Theme, Source, Path, and Goal do not map perfectly onto the elements of the sentence, as the sentence primarily involves an Agent (I) performing an action (knock) on a surface (the door) without causing motion of an object from one place to another.

Confidence: 0.2",,knock,Cause_motion,"An Agent causes a Theme to move from a Source, along a Path, to a Goal.  Different members of the frame emphasize the trajectory to different degrees, and a given instance of the frame will usually leave some of the Source, Path and/or Goal implicit. The completion of motion is not required (unlike the Placing frame, see below), although individual sentences annotated with this frame may emphasize the Goal.   '' This frame is very broad and contains several different kinds of words that refer to causing motion.  Some words in this frame do not emphasize the Manner/Means of causing the motion (transfer.v, move.v).  For many of the others (cast.v, throw.v, chuck.v, etc.), the Agent has control of the Theme only at the Source of motion, and does not experience overall motion.  For others (e.g. drag.v, push.v, shove.v, etc.) the Agent has control of the Theme throughout the motion; for these words, the Theme is resistant to motion due to some friction with the surface along which they move.    'She threw her shoes into the dryer .' 'The mechanic dragged the jack out from under the car .' 'We will move the sofa out of the room through the french doors, down the stairs, and onto the sidewalk .' '' ''  This frame is used in a very large number of productive metaphors, not all of which can be outlined here.  The most salient types include causing an entity, construed as a Theme, to change state from an initial state (Source) via an intermediate state (Path) to a final state (Goal): 'Hillary was catapulted to stardom and his life has never been the same since . CNI' 'She felt as though flung from health to illness and back by the day , by the hour .' 'Once our parents are dead , we are catapulted into becoming the older generation ourselves . CNI' 'Croquet was pushed out by tennis .' ''  A particularly divergent subtype casts changing someone's intentions as changing their location: 'Democratsforced the Senate into a rare closed door session .' 'He nudged Mrs Thatcher towards acceptance of a unified Germany .' ''  Another subtype is specifically about causing a change in quantity (the Theme) through some sequence of values (Source, Path, and Goal): 'Bonus payments would be handed out for pushing up voting levels CNI .' ''  Another type, with many subtypes, involves causing an action or state (construed as a Theme) to have an effect on another person or location or conceptual domain. In such cases, theGoal is used for the final affected domain, and Source for initial affected domain, Path for an intermediate affected domain, and Distance for degree of difference between original application of the action and final: 'Jake had been hurling these same insults at her now for years' 'One can not press this argument too far .' 'She shoved the thought to the very back of her mind .' 'She flung him a savage little smile .' All of the foregoing metaphorical uses are annotated in this frame and marked ""Metaphor"", since they seem to be semantically motivated and not lexically idiosyncratic. '' ''  This frame contrasts with the following frames which talk about an Agent changing a Theme's position with respect to a landmark (either Source or Goal): ''  In Placing, the figure (Theme) is profiled as the object, and ends up on the ground (Goal).  The focus is on the final stage of motion, in which the Theme ends up at the Goal, and usually stably remains there. 'Joyce placed the flowers onto the bed.' ''  In Filling, the ground (Goal) is profiled as the object, and the figure (Theme) ends up on the ground (Goal). 'John filled the box with old toys.' ''  In Removing, the figure (Theme) is profiled, and is removed from the ground (Source). 'Jennifer removed the flowers from the bed.' ''  In Emptying, the ground (Source) is profiled and the figure (Theme) is removed from it. 'Jason emptied the box of the old toys .' ''  Words of this frame also differ from the words of the Bringing frame in that they are more general:  either the Agent has a momentary interaction with the Theme that causes its motion, unlike the continuous causation of Bringing, or the Agent continuously acts on the Theme, but there is no supporting object that helps with the motion like the Carrier of the Bringing frame.  ","{'Agent': 'I', 'Theme': None, 'Source': None, 'Path': None, 'Goal': 'the door', 'Cause': None}"
I knock on the door.,"while in motion, an impactor makes sudden, forcible contact with the impactee, or two impactors both move, mutually making forcible contact.",,,"while in motion , I make sudden , forcible contact with the the door , or two I both move , mutually making forcible contact .",0.7,True,True,"Reasoning: In the sentence ""I knock on the door,"" the action of knocking involves making sudden, forcible contact, which aligns with the core definition of the Impact frame. The ""I"" serves as the Impactor, and ""the door"" serves as the Impactee. However, the action of knocking is typically more controlled and less forceful than the examples implied by the full frame definition, which suggests a higher level of force and motion (e.g., ""The massive metal foot hit the ground with a huge thud""). Therefore, while the basic elements of the Impact frame are present, the intensity and context might not align perfectly with the frame's typical examples.

Confidence: 0.7",,knock,Impact,"While in motion, an Impactor makes sudden, forcible contact with the Impactee, or two Impactors both move, mutually making forcible contact.   'The massive metal foot hit the ground with a huge thud.' ","{'Impactor': 'I', 'Impactee': 'the door', 'Impactors': 'I'}"
