ID,Sentence,Frame #,Verb,Object,Envoked Frame,Ground Truth (Manually Checking),Frame Definition,Notes,Did the model Predicte the Frame,LLM Merged Sentence,Sentence Components,Frame Components,Unnamed: 6
METRICS,,,,,,,,"Accuracy: 65.85%, Precision: 0.00%, Recall: 0.00%, F1: 0.00%",,,,,
1,I open the door.,1,open,door,Closure,yes,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.006,,this frame contains words for door an i open using some part of his/her body.,"who: I
verb: open
object_on_which_the_action_is_made: door","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
1,I open the door.,2,open,door,Body_movement,no,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.001,,i open door to open or close a containing object.,"who: I
verb: open
object_on_which_the_action_is_made: door","who: an agent
verb: manipulates
object_on_which_the_action_is_made: a fastener",
1,I open the door.,3,open,door,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.000,,an i open the door of an ongoing activity in which he will be continuously involved.,"who: I
verb: open
object_on_which_the_action_is_made: door","who: agent
verb: initiates
object_on_which_the_action_is_made: beginning",
2,I close the door.,1,close,door,Closure,yes,"Generally without overall (translational) motion,  an Agent places a Theme at a location, the Goal, which is profiled.  In this frame, the Theme is under the control of the Agent/Cause at the time of its arrival at the Goal.  'David placed his briefcase on the floor.'  This frame differs from Filling in that it focuses on the Theme rather than the effect on the Goal entity.  It differs from Removing in focusing on the Goal rather than the Source of motion for the Theme.",Confidence: 0.206,,doorgdooredoorndooredoorrdooradoorldoorldoorydoor doorwdooridoortdoorhdoorodoorudoortdoor doorodoorvdooredoorrdooradoorldoorldoor.door,"who: I
verb: close
object_on_which_the_action_is_made: door","who: 
verb: 
object_on_which_the_action_is_made: ",
2,I close the door.,2,close,door,Body_movement,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.008,,this frame contains words for door an i close using some part of his/her body.,"who: I
verb: close
object_on_which_the_action_is_made: door","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
2,I close the door.,3,close,door,Locale_closure,no,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use.  'That park closed last year.'",Confidence: 0.002,,"a building or location that can be sealed to prevent entrance, i, close door.","who: I
verb: close
object_on_which_the_action_is_made: door","who: the locale
verb: ceases
object_on_which_the_action_is_made: to be open for use",
3,I knock on the door.,1,knock,door,Cause_harm,no,"Participants in a Sex act engage in or are subjected to sexual contact. Often the LUs in this frame are suggestive euphemisms which refer to non-sexual physical contact, Giving/Receiving scenarios, frames related to travel, physical orientation, body metonymy, biological necessity, or a simple completion of Activity.  ",Confidence: 0.010,,i engage in or are subjected to door.,"who: I
verb: knock
object_on_which_the_action_is_made: door","who: participants in a sex act
verb: engage in/are subjected to
object_on_which_the_action_is_made: sexual contact",
3,I knock on the door.,2,knock,door,Cause_motion,no,"While in motion, an Impactor makes sudden, forcible contact with the Impactee, or two Impactors both move, mutually making forcible contact.   'The massive metal foot hit the ground with a huge thud.' ",Confidence: 0.008,,"while in motion, an i knock sudden, forcible contact with the door, or two is both move, mutually making forcible contact.","who: I
verb: knock
object_on_which_the_action_is_made: door","who: impactor
verb: makes
object_on_which_the_action_is_made: impactee",
3,I knock on the door.,3,knock,door,Impact,yes,An Agent affects an Artifact so that it is no longer capable of performing its inherent function.  'I broke the TV.',Confidence: 0.006,,an i knock an door so that it is no longer capable of performing its inherent function.,"who: I
verb: knock
object_on_which_the_action_is_made: door","who: agent
verb: affects
object_on_which_the_action_is_made: artifact",
5,I open the backpack.,1,open,backpack,Closure,yes,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.004,,this frame contains words for backpack an i open using some part of his/her body.,"who: I
verb: open
object_on_which_the_action_is_made: backpack","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
5,I open the backpack.,2,open,backpack,Body_movement,no,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.001,,i open backpack to open or close a containing object.,"who: I
verb: open
object_on_which_the_action_is_made: backpack","who: an agent
verb: manipulates
object_on_which_the_action_is_made: a fastener",
5,I open the backpack.,3,open,backpack,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.001,,an i open the backpack of an ongoing activity in which he will be continuously involved.,"who: I
verb: open
object_on_which_the_action_is_made: backpack","who: agent
verb: initiates
object_on_which_the_action_is_made: beginning",
