ID,Sentence,Frame #,Verb,Object,Envoked Frame,Ground Truth (Manually Checking),Frame Definition,Notes,Did the model Predicte the Frame,LLM Merged Sentence,Sentence Components,Frame Components,Unnamed: 6
METRICS,,,,,,,,"Accuracy: 51.22%, Precision: 38.46%, Recall: 71.43%, F1: 50.00%",,,,,
1,I open the door.,1,open,door,Closure,yes,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.887,v,this frame contains words for door an i open using some part of his/her body.,"who: I
verb: open
object_on_which_the_action_is_made: door","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
1,I open the door.,2,open,door,Body_movement,no,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.819,v,i open door to open or close a containing object.,"who: I
verb: open
object_on_which_the_action_is_made: door","who: an agent
verb: manipulates
object_on_which_the_action_is_made: a fastener",
1,I open the door.,3,open,door,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.013,,an i open the door of an ongoing activity in which he will be continuously involved.,"who: I
verb: open
object_on_which_the_action_is_made: door","who: agent
verb: initiates
object_on_which_the_action_is_made: beginning",
2,I close the door.,1,close,door,Closure,yes,A Process comes to an end.  'The project came to a close.',Confidence: 0.989,v,a i close to an door.,"who: I
verb: close
object_on_which_the_action_is_made: door","who: process
verb: comes
object_on_which_the_action_is_made: end",
2,I close the door.,2,close,door,Body_movement,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.965,v,this frame contains words for door an i close using some part of his/her body.,"who: I
verb: close
object_on_which_the_action_is_made: door","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
2,I close the door.,3,close,door,Locale_closure,no,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use.  'That park closed last year.'",Confidence: 0.289,,"a building or location that can be sealed to prevent entrance, i, close door.","who: I
verb: close
object_on_which_the_action_is_made: door","who: the locale
verb: ceases
object_on_which_the_action_is_made: to be open for use",
3,I knock on the door.,1,knock,door,Cause_harm,no,"Participants in a Sex act engage in or are subjected to sexual contact. Often the LUs in this frame are suggestive euphemisms which refer to non-sexual physical contact, Giving/Receiving scenarios, frames related to travel, physical orientation, body metonymy, biological necessity, or a simple completion of Activity.  ",Confidence: 0.970,v,i engage in or are subjected to door.,"who: I
verb: knock
object_on_which_the_action_is_made: door","who: participants in a sex act
verb: engage in/are subjected to
object_on_which_the_action_is_made: sexual contact",
3,I knock on the door.,2,knock,door,Cause_motion,no,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'",Confidence: 0.944,v,the words in this frame describe situations in which an i knock a door.,"who: I
verb: knock
object_on_which_the_action_is_made: door","who: agent or a cause
verb: injures
object_on_which_the_action_is_made: victim",
3,I knock on the door.,3,knock,door,Impact,yes,"This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value_1) to an end value (Value_2). The direction of the change (Path) can be encoded as well as the magnitude of the change (Difference). The rate of change of the value (Speed) can optionally be indicated as well as a second scale (Co_Variable), which the values are correlated with.  '' 'The company is raising the final dividend from 4.34p to 4.57p, to boost the total by 5.3 percent to 6.36p.'  'Similarly, a consumer boom will encourage the authorities to increase interest rates in order to keep money supply on target.'  'United Way of Central Indiana adds value to your investment.'",Confidence: 0.941,v,this frame consists of words that indicate that an i knock the door of an item on some scale.,"who: I
verb: knock
object_on_which_the_action_is_made: door","who: agent or a cause
verb: affects
object_on_which_the_action_is_made: position",
5,I open the backpack.,1,open,backpack,Closure,yes,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.971,v,this frame contains words for backpack an i open using some part of his/her body.,"who: I
verb: open
object_on_which_the_action_is_made: backpack","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
5,I open the backpack.,2,open,backpack,Body_movement,no,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.084,,i open backpack to open or close a containing object.,"who: I
verb: open
object_on_which_the_action_is_made: backpack","who: an agent
verb: manipulates
object_on_which_the_action_is_made: a fastener",
5,I open the backpack.,3,open,backpack,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.014,,an i open the backpack of an ongoing activity in which he will be continuously involved.,"who: I
verb: open
object_on_which_the_action_is_made: backpack","who: agent
verb: initiates
object_on_which_the_action_is_made: beginning",
6,I close the backpack.,1,close,backpack,Closure,yes,A Process comes to an end.  'The project came to a close.',Confidence: 0.988,v,a i close to an backpack.,"who: I
verb: close
object_on_which_the_action_is_made: backpack","who: process
verb: comes
object_on_which_the_action_is_made: end",
6,I close the backpack.,2,close,backpack,Body_movement,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.952,v,this frame contains words for backpack an i close using some part of his/her body.,"who: I
verb: close
object_on_which_the_action_is_made: backpack","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
